2026-08-17 01:34:38,033 | DEBUG    | main:744 |   Processed 25/32 in batch 26
2026-08-17 01:34:38,034 | DEBUG    | main:744 |   Processed 30/32 in batch 26
2026-08-17 01:34:38,034 | INFO     | main:670 | Processing batch 27/282 (32 profiles)...
2026-08-17 01:35:20,743 | DEBUG    | main:744 |   Processed 5/32 in batch 27
2026-08-17 01:35:20,743 | DEBUG    | main:744 |   Processed 10/32 in batch 27
2026-08-17 01:35:20,743 | DEBUG    | main:744 |   Processed 15/32 in batch 27
2026-08-17 01:35:20,744 | DEBUG    | main:744 |   Processed 20/32 in batch 27
2026-08-17 01:35:20,744 | DEBUG    | main:744 |   Processed 25/32 in batch 27
2026-08-17 01:35:20,745 | DEBUG    | main:744 |   Processed 30/32 in batch 27
2026-08-17 01:35:20,745 | INFO     | main:670 | Processing batch 28/282 (32 profiles)...
2026-08-17 01:36:03,523 | DEBUG    | main:744 |   Processed 5/32 in batch 28
2026-08-17 01:36:03,524 | DEBUG    | main:744 |   Processed 10/32 in batch 28
2026-08-17 01:36:03,524 | DEBUG    | main:744 |   Processed 15/32 in batch 28
2026-08-17 01:36:03,525 | DEBUG    | main:744 |   Processed 20/32 in batch 28
2026-08-17 01:36:03,525 | DEBUG    | main:744 |   Processed 25/32 in batch 28
2026-08-17 01:36:03,526 | DEBUG    | main:744 |   Processed 30/32 in batch 28
2026-08-17 01:36:03,526 | INFO     | main:670 | Processing batch 29/282 (32 profiles)...
2026-08-17 01:36:46,510 | DEBUG    | main:744 |   Processed 5/32 in batch 29
2026-08-17 01:36:46,511 | DEBUG    | main:744 |   Processed 10/32 in batch 29
2026-08-17 01:36:46,511 | DEBUG    | main:744 |   Processed 15/32 in batch 29
2026-08-17 01:36:46,512 | DEBUG    | main:744 |   Processed 20/32 in batch 29
2026-08-17 01:36:46,512 | DEBUG    | main:744 |   Processed 25/32 in batch 29
2026-08-17 01:36:46,512 | DEBUG    | main:744 |   Processed 30/32 in batch 29
2026-08-17 01:36:46,513 | INFO     | main:670 | Processing batch 30/282 (32 profiles)...
2026-08-17 01:37:29,332 | DEBUG    | main:744 |   Processed 5/32 in batch 30
2026-08-17 01:37:29,333 | DEBUG    | main:744 |   Processed 10/32 in batch 30
2026-08-17 01:37:29,334 | DEBUG    | main:744 |   Processed 15/32 in batch 30
2026-08-17 01:37:29,334 | DEBUG    | main:744 |   Processed 20/32 in batch 30
2026-08-17 01:37:29,334 | DEBUG    | main:744 |   Processed 25/32 in batch 30
2026-08-17 01:37:29,335 | DEBUG    | main:744 |   Processed 30/32 in batch 30
2026-08-17 01:37:29,335 | INFO     | main:670 | Processing batch 31/282 (32 profiles)...
2026-08-17 01:38:12,110 | DEBUG    | main:744 |   Processed 5/32 in batch 31
2026-08-17 01:38:12,110 | DEBUG    | main:744 |   Processed 10/32 in batch 31
2026-08-17 01:38:12,111 | DEBUG    | main:744 |   Processed 15/32 in batch 31
2026-08-17 01:38:12,111 | DEBUG    | main:744 |   Processed 20/32 in batch 31
2026-08-17 01:38:12,111 | DEBUG    | main:744 |   Processed 25/32 in batch 31
2026-08-17 01:38:12,112 | DEBUG    | main:744 |   Processed 30/32 in batch 31
2026-08-17 01:38:12,112 | INFO     | main:670 | Processing batch 32/282 (32 profiles)...
2026-08-17 01:38:54,986 | DEBUG    | main:744 |   Processed 5/32 in batch 32
2026-08-17 01:38:54,987 | DEBUG    | main:744 |   Processed 10/32 in batch 32
2026-08-17 01:38:54,987 | DEBUG    | main:744 |   Processed 15/32 in batch 32
2026-08-17 01:38:54,988 | DEBUG    | main:744 |   Processed 20/32 in batch 32
2026-08-17 01:38:54,988 | DEBUG    | main:744 |   Processed 25/32 in batch 32
2026-08-17 01:38:54,988 | DEBUG    | main:744 |   Processed 30/32 in batch 32
2026-08-17 01:38:54,988 | INFO     | main:670 | Processing batch 33/282 (32 profiles)...
2026-08-17 01:39:38,578 | DEBUG    | main:744 |   Processed 5/32 in batch 33
2026-08-17 01:39:38,578 | DEBUG    | main:744 |   Processed 10/32 in batch 33
2026-08-17 01:39:38,579 | DEBUG    | main:744 |   Processed 15/32 in batch 33
2026-08-17 01:39:38,579 | DEBUG    | main:744 |   Processed 20/32 in batch 33
2026-08-17 01:39:38,579 | DEBUG    | main:744 |   Processed 25/32 in batch 33
2026-08-17 01:39:38,580 | DEBUG    | main:744 |   Processed 30/32 in batch 33
2026-08-17 01:39:38,580 | INFO     | main:670 | Processing batch 34/282 (32 profiles)...
2026-08-17 01:40:21,512 | DEBUG    | main:744 |   Processed 5/32 in batch 34
2026-08-17 01:40:21,512 | DEBUG    | main:744 |   Processed 10/32 in batch 34
2026-08-17 01:40:21,513 | DEBUG    | main:744 |   Processed 15/32 in batch 34
